subject	session	task	run	run_key	nss_count	number_of_original_volumes	number_of_steady_state_volumes	software_versions	selection_reason	historical_pca_components	historical_ica_components	historical_accepted_components	historical_rejected_components	full_fastica_pca_components	full_fastica_ica_components	full_fastica_accepted_components	full_fastica_rejected_components	full_fastica_aic_components	full_fastica_kic_components	full_fastica_mdl_components	full_fastica_varex_90_components	full_fastica_varex_95_components	nss_fastica_pca_components	nss_fastica_ica_components	nss_fastica_accepted_components	nss_fastica_rejected_components	nss_fastica_aic_components	nss_fastica_kic_components	nss_fastica_mdl_components	nss_fastica_varex_90_components	nss_fastica_varex_95_components	nss_robustica_pca_components	nss_robustica_ica_components	nss_robustica_accepted_components	nss_robustica_rejected_components	nss_robustica_aic_components	nss_robustica_kic_components	nss_robustica_mdl_components	nss_robustica_varex_90_components	nss_robustica_varex_95_components	nss_minus_full_pca_components	nss_minus_full_ica_components	nss_minus_full_accepted_components	nss_minus_full_rejected_components	nss_minus_full_aic_components	nss_minus_full_kic_components	nss_minus_full_mdl_components	nss_minus_full_varex_90_components	nss_minus_full_varex_95_components	robustica_minus_fastica_pca_components	robustica_minus_fastica_ica_components	robustica_minus_fastica_accepted_components	robustica_minus_fastica_rejected_components	nss_fastica_pca_minus_ica_components	nss_robustica_pca_minus_ica_components	nss_fastica_robustica_pca_contract_identical	n0_metrics_identical	n0_mixing_max_absolute_difference	n0_denoised_max_absolute_difference	flag_nss_changes_pca_by_at_least_5	flag_nss_changes_rejected_by_at_least_5	flag_robustica_changes_ica_count_by_at_least_10	flag_robustica_changes_rejected_by_at_least_10	review_reasons
11597	01	doors	1	sub-11597_ses-01_task-doors_run-1	0	218	218	syngo MR XA60	high_rejected_fraction;high_rejected_variance	17	17	0	17	62	62	4	58	62	55	34	147	180	62	62	4	58	62	55	34	147	180	62	52	3	49	62	55	34	147	180	0	0	0	0	0	0	0	0	0	0	-10	-1	-9	0	10	1	1	0.0	0.0	0	0	1	0	robustica_changes_ica_count_by_at_least_10
11276	01	trust	2	sub-11276_ses-01_task-trust_run-2	3	280	277	syngo MR E11	high_rejected_count_high_motion;high_ica_dimensionality	144	144	116	28	144	144	114	30	144	133	91	119	184	150	150	113	37	150	136	94	116	180	150	114	84	30	150	136	94	116	180	6	6	-1	7	6	3	3	-3	-4	0	-36	-29	-7	0	36	1				1	1	1	0	nss_changes_pca_by_at_least_5;nss_changes_rejected_by_at_least_5;robustica_changes_ica_count_by_at_least_10
11570	01	trust	1	sub-11570_ses-01_task-trust_run-1	0	280	280	syngo MR XA60	nss_zero_control	32	32	13	19	35	35	11	24	35	27	18	198	237	35	35	11	24	35	27	18	198	237	35	30	17	13	35	27	18	198	237	0	0	0	0	0	0	0	0	0	0	-5	6	-11	0	5	1	1	0.0	0.0	0	0	0	1	robustica_changes_rejected_by_at_least_10
11902	01	trust	1	sub-11902_ses-01_task-trust_run-1	1	280	279	syngo MR XA60	ordinary_control	32	32	13	19	92	92	15	77	92	81	56	162	217	90	90	16	74	90	81	55	163	217	90	78	20	58	90	81	55	163	217	-2	-2	1	-3	-2	0	-1	1	0	0	-12	4	-16	0	12	1				0	0	1	1	robustica_changes_ica_count_by_at_least_10;robustica_changes_rejected_by_at_least_10
12008	01	trust	2	sub-12008_ses-01_task-trust_run-2	1	280	279	syngo MR XA60	high_rejected_fraction;high_rejected_variance	139	139	8	131	151	151	11	140	151	115	66	29	88	153	153	5	148	153	119	64	30	90	153	97	9	88	153	119	64	30	90	2	2	-6	8	2	4	-2	1	2	0	-56	4	-60	0	56	1				0	1	1	1	nss_changes_rejected_by_at_least_5;robustica_changes_ica_count_by_at_least_10;robustica_changes_rejected_by_at_least_10
11005	01	ugr	1	sub-11005_ses-01_task-ugr_run-1	0	240	240	syngo MR E11	high_rejected_count_high_motion	151	151	119	32	159	159	124	35	159	140	105	73	118	159	159	124	35	159	140	105	73	118	159	107	70	37	159	140	105	73	118	0	0	0	0	0	0	0	0	0	0	-52	-54	2	0	52	1	1	0.0	0.0	0	0	1	0	robustica_changes_ica_count_by_at_least_10
11066	01	ugr	1	sub-11066_ses-01_task-ugr_run-1	2	240	238	syngo MR E11	ordinary_control	31	31	19	12	33	33	16	17	33	29	18	176	206	32	32	20	12	32	29	18	174	205	32	28	15	13	32	29	18	174	205	-1	-1	4	-5	-1	0	0	-2	-1	0	-4	-5	1	0	4	1				0	1	0	0	nss_changes_rejected_by_at_least_5
11246	01	ugr	2	sub-11246_ses-01_task-ugr_run-2	1	240	239	syngo MR E11	ordinary_control	31	31	20	11	34	34	20	14	34	30	21	174	206	36	36	15	21	36	31	22	174	205	36	31	11	20	36	31	22	174	205	2	2	-5	7	2	1	1	0	-1	0	-5	-4	-1	0	5	1				0	1	0	0	nss_changes_rejected_by_at_least_5
11526	01	ugr	1	sub-11526_ses-01_task-ugr_run-1	2	240	238	syngo MR XA60	high_rejected_count_low_motion	40	40	18	22	23	23	11	12	23	20	12	188	213	21	21	15	6	21	19	12	187	211	21	21	13	8	21	19	12	187	211	-2	-2	4	-6	-2	-1	0	-1	-2	0	0	-2	2	0	0	1				0	1	0	0	nss_changes_rejected_by_at_least_5
11534	01	ugr	1	sub-11534_ses-01_task-ugr_run-1	4	240	236	syngo MR XA30	ordinary_control	31	31	16	15	32	32	20	12	32	28	18	193	216	33	33	10	23	33	29	20	190	212	33	28	10	18	33	29	20	190	212	1	1	-10	11	1	1	2	-3	-4	0	-5	0	-5	0	5	1				0	1	0	0	nss_changes_rejected_by_at_least_5
11598	01	ugr	1	sub-11598_ses-01_task-ugr_run-1	0	240	240	syngo MR XA60	high_ica_dimensionality	154	154	24	130	161	161	27	134	161	136	82	97	148	161	161	27	134	161	136	82	97	148	161	117	22	95	161	136	82	97	148	0	0	0	0	0	0	0	0	0	0	-44	-5	-39	0	44	1	1	0.0	0.0	0	0	1	1	robustica_changes_ica_count_by_at_least_10;robustica_changes_rejected_by_at_least_10
