task	run	echo	parameter	status	eras_present	e11_unique_values	xa30_unique_values	xa60_unique_values	e11_n_values	xa30_n_values	xa60_n_values
doors	1	1	ConversionSoftwareVersion	identical_across_eras	E11;XA30;XA60	"""v1.0.20240202"""	"""v1.0.20240202"""	"""v1.0.20240202"""	1	1	1
doors	1	1	DerivedVendorReportedEchoSpacing	identical_across_eras	E11;XA30;XA60	0.000490004	0.000490004	0.000490004	1	1	1
doors	1	1	DwellTime	identical_across_eras	E11;XA30;XA60	2.5e-06	2.5e-06	2.5e-06	1	1	1
doors	1	1	EchoNumber	identical_across_eras	E11;XA30;XA60	1	1	1	1	1	1
doors	1	1	EchoTime	identical_across_eras	E11;XA30;XA60	0.0138	0.0138	0.0138	1	1	1
doors	1	1	EchoTrainLength	identical_across_eras	E11;XA30;XA60	34	34	34	1	1	1
doors	1	1	EffectiveEchoSpacing	identical_across_eras	E11;XA30;XA60	0.000245002	0.000245002	0.000245002	1	1	1
doors	1	1	FlipAngle	varies_within_era	E11;XA30;XA60	20;50	50	50	2	1	1
doors	1	1	FrequencyEncodingSteps	identical_across_eras	XA30;XA60		80	80	0	1	1
doors	1	1	HeudiconvVersion	identical_across_eras	E11;XA30;XA60	"""1.4.0"""	"""1.4.0"""	"""1.4.0"""	1	1	1
doors	1	1	ImageComments	varies_within_era	E11;XA30;XA60	"""Unaliased MB3/PE4/LB SENSE1+"""	"""Project: Smith-SRA, Unaliased MB3/PE4/LB SENSE1++"";""Unaliased MB3/PE4/LB SENSE1++"";""Unaliased MB3/PE4/LB"""	"""Not for diagnostic use, Project: Smith-SRA, Unaliased MB3/PE4/LB SENSE1++"";""Not for diagnostic use, Smith-SRA-10590-2, Unaliased MB3/PE4/LB SENSE1++"""	1	3	2
doors	1	1	ImageOrientationText	varies_within_era	E11	"""Tra"";""Tra>Cor(-0.5)"";""Tra>Cor(-0.8)"";""Tra>Cor(-0.9)"";""Tra>Cor(-1.2)"";""Tra>Cor(-1.4)"";""Tra>Cor(-1.5)"";""Tra>Cor(-1.8)"";""Tra>Cor(-10.0)"";""Tra>Cor(-10.2)"";""Tra>Cor(-10.5)>Sag(0.1)"";""Tra>Cor(-10.6)"";""Tra>Cor(-10.7)"";""Tra>Cor(-10.8)"";""Tra>Cor(-11.3)"";""Tra>Cor(-11.4)"";""Tra>Cor(-12.0)"";""Tra>Cor(-12.1)"";""Tra>Cor(-12.2)"";""Tra>Cor(-12.3)"";""Tra>Cor(-12.4)"";""Tra>Cor(-12.8)"";""Tra>Cor(-15.0)"";""Tra>Cor(-16.4)>Sag(-0.9)"";""Tra>Cor(-16.9)"";""Tra>Cor(-17.4)"";""Tra>Cor(-18.6)"";""Tra>Cor(-19.8)"";""Tra>Cor(-2.1)"";""Tra>Cor(-2.4)"";""Tra>Cor(-2.5)"";""Tra>Cor(-2.8)"";""Tra>Cor(-20.5)>Sag(0.2)"";""Tra>Cor(-20.9)"";""Tra>Cor(-24.3)"";""Tra>Cor(-3.1)"";""Tra>Cor(-3.1)>Sag(0.0)"";""Tra>Cor(-3.3)"";""Tra>Cor(-3.6)"";""Tra>Cor(-3.6)>Sag(0.6)"";""Tra>Cor(-3.7)"";""Tra>Cor(-4.0)"";""Tra>Cor(-4.3)"";""Tra>Cor(-4.5)"";""Tra>Cor(-4.5)>Sag(0.2)"";""Tra>Cor(-4.6)"";""Tra>Cor(-4.6)>Sag(-0.1)"";""Tra>Cor(-4.7)"";""Tra>Cor(-4.8)"";""Tra>Cor(-4.9)"";""Tra>Cor(-5.1)>Sag(-0.0)"";""Tra>Cor(-5.2)"";""Tra>Cor(-5.3)"";""Tra>Cor(-5.8)"";""Tra>Cor(-5.9)"";""Tra>Cor(-5.9)>Sag(-0.0)"";""Tra>Cor(-6.0)"";""Tra>Cor(-6.1)"";""Tra>Cor(-6.5)"";""Tra>Cor(-6.5)>Sag(3.6)"";""Tra>Cor(-6.6)"";""Tra>Cor(-6.9)"";""Tra>Cor(-7.2)"";""Tra>Cor(-7.5)"";""Tra>Cor(-7.9)>Sag(-0.0)"";""Tra>Cor(-8.0)>Sag(3.0)"";""Tra>Cor(-8.2)"";""Tra>Cor(-8.3)"";""Tra>Cor(-8.6)"";""Tra>Cor(-9.8)"";""Tra>Cor(-9.9)>Sag(-0.0)"";""Tra>Cor(0.1)"";""Tra>Cor(0.4)"";""Tra>Cor(0.8)"";""Tra>Cor(0.9)"";""Tra>Cor(1.1)"";""Tra>Cor(1.4)"";""Tra>Cor(11.4)"";""Tra>Cor(12.3)"";""Tra>Cor(13.0)"";""Tra>Cor(17.1)"";""Tra>Cor(2.1)"";""Tra>Cor(2.2)"";""Tra>Cor(2.5)>Sag(-0.1)"";""Tra>Cor(2.8)"";""Tra>Cor(3.2)"";""Tra>Cor(3.4)"";""Tra>Cor(3.5)>Sag(0.3)"";""Tra>Cor(3.7)"";""Tra>Cor(3.9)"";""Tra>Cor(4.2)"";""Tra>Cor(4.3)>Sag(-0.6)"";""Tra>Cor(4.6)"";""Tra>Cor(5.1)>Sag(3.0)"";""Tra>Cor(5.2)"";""Tra>Cor(5.3)"";""Tra>Cor(5.8)"";""Tra>Cor(6.5)"";""Tra>Cor(6.9)"";""Tra>Cor(7.0)"";""Tra>Cor(8.1)"";""Tra>Cor(9.8)"";""Tra>Sag(2.0)>Cor(1.4)"";""Tra>Sag(2.8)>Cor(-2.1)"";""Tra>Sag(4.5)"";""Tra>Sag(5.8)"";""Tra>Sag(5.9)>Cor(-0.0)"";""Tra>Sag(7.0)>Cor(-0.3)"""			108	0	0
doors	1	1	ImageType	differs_systematically_by_era	E11;XA30;XA60	"[""ORIGINAL"",""PRIMARY"",""M"",""MB"",""TE1"",""ND"",""NORM"",""MOSAIC""]"	"[""ORIGINAL"",""PRIMARY"",""FMRI"",""NONE""]"	"[""ORIGINAL"",""PRIMARY"",""FMRI"",""NONE""]"	1	1	1
doors	1	1	ImageTypeText	differs_systematically_by_era	XA30;XA60		"[""ORIGINAL"",""PRIMARY"",""M"",""MB"",""TE1"",""NORM"",""DIS2D""]"	"[""ORIGINAL"",""PRIMARY"",""M"",""MB"",""TE1"",""ND"",""NORM""]"	0	1	1
doors	1	1	ImagingFrequency	varies_within_era	E11;XA30;XA60	123.249112;123.249129;123.249133;123.249137;123.249185;123.249188;123.249197;123.249198;123.249199;123.249206;123.249253;123.249257;123.249259;123.249266;123.249284;123.249293;123.249315;123.249317;123.249325;123.249326;123.249334;123.249338;123.249341;123.249366;123.249372;123.249376;123.24938;123.249383;123.249389;123.24939;123.249393;123.249407;123.24944;123.249452;123.24947;123.249488;123.249489;123.249505;123.249556;123.249584;123.249671;123.255432;123.255457;123.255468;123.255511;123.255528;123.25557;123.255588;123.255605;123.255606;123.255608;123.255616;123.255619;123.255625;123.255626;123.255628;123.255632;123.255645;123.255648;123.25565;123.255654;123.25566;123.255663;123.255664;123.255666;123.25567;123.255673;123.255677;123.255678;123.25568;123.255686;123.255688;123.255689;123.255692;123.255697;123.255698;123.2557;123.255702;123.255704;123.255707;123.255712;123.255715;123.255718;123.255721;123.255724;123.255728;123.255729;123.255731;123.255733;123.255736;123.255737;123.25574;123.255742;123.255747;123.255749;123.255752;123.255754;123.255763;123.255764;123.255767;123.255775;123.255777;123.255778;123.255788;123.25579;123.255795;123.255796;123.255799;123.255804;123.255806;123.255807;123.255811;123.255815;123.255823;123.25583;123.255835;123.255836;123.255841;123.255844;123.255854;123.255857;123.25587;123.255874;123.255877;123.255881;123.255883;123.255884;123.255885;123.25589;123.255894;123.255902;123.255906;123.255907;123.255911;123.255914;123.255934;123.255943;123.255944;123.255945;123.255946;123.255947;123.255963;123.255965;123.255969;123.255977;123.255978;123.25598;123.255982;123.255991;123.256003;123.256028;123.256032;123.256045;123.256093;123.256096;123.256111;123.256121;123.256136;123.25614;123.256147;123.256152;123.25617;123.256179;123.256203;123.256217;123.256227;123.256232;123.25625;123.256287;123.256291;123.256309;123.256323;123.256326;123.256431;123.256445;123.256447	123.248469;123.249004;123.249019;123.249042;123.249043;123.249055;123.249093;123.249129;123.249135;123.249139;123.24915;123.249174;123.249182;123.249187;123.249207;123.24922;123.249276;123.249429	123.236758;123.236791;123.236793;123.236794;123.23683;123.236835;123.236839;123.236842;123.236847;123.236855;123.236856;123.236863;123.236865;123.236878;123.236881;123.236882;123.236883;123.236884;123.236885;123.236891;123.236897;123.236898;123.236908;123.23691;123.236917;123.236918;123.236924;123.236926;123.236927;123.236934;123.23695;123.236954;123.236955;123.236959;123.23696;123.236961;123.236965;123.236972;123.23698;123.236983;123.236987;123.236988;123.236993;123.236994;123.237002;123.237003;123.237005;123.237018;123.237019;123.23702;123.237021;123.237025;123.237029;123.237038;123.237044;123.237045;123.237046;123.237048;123.237053;123.237054;123.237057;123.237066;123.237074;123.237075;123.237076;123.237078;123.237086;123.237095;123.237104;123.237106;123.237116;123.237121;123.237122;123.237127;123.237158;123.237189;123.237214;123.237226;123.237285;123.248953;123.248958;123.248976;123.248983;123.248991;123.248992;123.248993;123.248996;123.248999;123.249004;123.249012;123.249015;123.249038;123.249077;123.249079;123.249083;123.249099;123.249101;123.249105;123.249108;123.249112;123.249115;123.249121;123.249126;123.249131;123.249133;123.249136;123.24914;123.249144;123.249146;123.249155;123.249156;123.249159;123.249161;123.249164;123.249167;123.249168;123.24917;123.249179;123.249195;123.249196;123.2492;123.249201;123.249207;123.249212;123.249221;123.249223;123.249229;123.249233;123.249243;123.24925;123.249272;123.249283;123.249285;123.249288	176	18	134
doors	1	1	InPlanePhaseEncodingDirectionDICOM	varies_within_era	E11;XA30;XA60	"""COL"""	"""COL"""	"""COL"";""ROW"""	1	1	2
doors	1	1	MRAcquisitionType	identical_across_eras	E11;XA30;XA60	"""2D"""	"""2D"""	"""2D"""	1	1	1
doors	1	1	MTState	identical_across_eras	XA30;XA60		false	false	0	1	1
doors	1	1	MagneticFieldStrength	identical_across_eras	E11;XA30;XA60	3	3	3	1	1	1
doors	1	1	Manufacturer	identical_across_eras	E11;XA30;XA60	"""Siemens"""	"""Siemens"""	"""Siemens"""	1	1	1
doors	1	1	ManufacturersModelName	differs_systematically_by_era	E11;XA30;XA60	"""Prisma"""	"""MAGNETOM Prisma"""	"""MAGNETOM Prisma"""	1	1	1
doors	1	1	MatrixCoilMode	identical_across_eras	E11;XA30;XA60	"""GRAPPA"""	"""GRAPPA"""	"""GRAPPA"""	1	1	1
doors	1	1	Modality	identical_across_eras	E11;XA30;XA60	"""MR"""	"""MR"""	"""MR"""	1	1	1
doors	1	1	MultibandAccelerationFactor	identical_across_eras	E11;XA30	3	3		1	1	0
doors	1	1	NonlinearGradientCorrection	differs_systematically_by_era	E11;XA30;XA60	false	true	false	1	1	1
doors	1	1	ParallelAcquisitionTechnique	identical_across_eras	XA30;XA60		"""GRAPPA"""	"""GRAPPA"""	0	1	1
doors	1	1	ParallelReductionFactorInPlane	identical_across_eras	E11;XA30;XA60	2	2	2	1	1	1
doors	1	1	PartialFourier	identical_across_eras	E11;XA30;XA60	0.875	0.875	0.875	1	1	1
doors	1	1	PartialFourierDirection	identical_across_eras	XA30;XA60		"""PHASE"""	"""PHASE"""	0	1	1
doors	1	1	PercentPhaseFOV	identical_across_eras	E11;XA30;XA60	100	100	100	1	1	1
doors	1	1	PercentSampling	identical_across_eras	E11;XA30;XA60	100	100	100	1	1	1
doors	1	1	PhaseEncodingDirection	varies_within_era	E11;XA30;XA60	"""j-"""	"""j-"""	"""i"";""j-"""	1	1	2
doors	1	1	PhaseEncodingSteps	differs_systematically_by_era	E11;XA30;XA60	69	80	80	1	1	1
doors	1	1	PhaseResolution	identical_across_eras	E11;XA30;XA60	1	1	1	1	1	1
doors	1	1	PixelBandwidth	identical_across_eras	E11;XA30;XA60	2500	2500	2500	1	1	1
doors	1	1	ProcedureStepDescription	insufficient_cross_era_coverage	E11	"""Smith Lab^SRA"""			1	0	0
doors	1	1	ProtocolName	identical_across_eras	E11;XA30;XA60	"""task-SocialDoors_doors_CMRR_MB3_IP2_ME4_TR1615"""	"""task-SocialDoors_doors_CMRR_MB3_IP2_ME4_TR1615"""	"""task-SocialDoors_doors_CMRR_MB3_IP2_ME4_TR1615"""	1	1	1
doors	1	1	PulseSequenceDetails	identical_across_eras	E11;XA30;XA60	"""%CustomerSeq%\\cmrr_mbep2d_bold"""	"""%CustomerSeq%\\cmrr_mbep2d_bold"""	"""%CustomerSeq%\\cmrr_mbep2d_bold"""	1	1	1
doors	1	1	PulseSequenceName	identical_across_eras	XA30;XA60		"""epfid2d4_80"""	"""epfid2d4_80"""	0	1	1
doors	1	1	ReceiveCoilActiveElements	varies_within_era	E11;XA30;XA60	"""HE1-4"";""HE1-4;NE1,2"";""HE2,4;NE2"";""HE3,4;NE1,2"""	"""HE1-4"";""HE1-4;NE1,2"""	"""HE1-4"";""HE1-4;NE1,2"";""HE2,4"";""HE3,4;NE1,2"""	4	2	4
doors	1	1	ReceiveCoilName	identical_across_eras	E11;XA30;XA60	"""HeadNeck_20"""	"""HeadNeck_20"""	"""HeadNeck_20"""	1	1	1
doors	1	1	ReconMatrixPE	identical_across_eras	E11;XA30;XA60	80	80	80	1	1	1
doors	1	1	RefLinesPE	identical_across_eras	E11;XA30;XA60	58	58	58	1	1	1
doors	1	1	RepetitionTime	identical_across_eras	E11;XA30;XA60	1.615	1.615	1.615	1	1	1
doors	1	1	SAR	varies_within_era	E11	0.0125399;0.0133268;0.0137451;0.0141173;0.0145112;0.0147912;0.0148252;0.0150467;0.0153271;0.0153464;0.0154441;0.0155169;0.0155671;0.015622;0.0156774;0.015879;0.0163426;0.0164336;0.0164818;0.0165382;0.0166316;0.0166476;0.0166607;0.016897;0.0170413;0.0171244;0.0173648;0.0173784;0.0178347;0.0182728;0.0182904;0.0185747;0.0187616;0.0190767;0.0191402;0.0195362;0.0196433;0.0197809;0.0219043;0.0220566;0.0229134;0.0244306;0.0246459;0.0247558;0.0251093;0.0251955;0.0254068;0.0254346;0.0254612;0.0255772;0.0259975;0.0260489;0.0260688;0.0260946;0.0262206;0.0262554;0.0262902;0.0263535;0.0265531;0.026736;0.0271224;0.0271593;0.0272928;0.0273051;0.0273685;0.027553;0.0276811;0.0276851;0.0276918;0.0277434;0.0278936;0.0279814;0.02804;0.0282505;0.0284734;0.0285706;0.0285749;0.0286114;0.0286838;0.0287189;0.0287854;0.0288461;0.0288501;0.028887;0.029013;0.0290337;0.0290846;0.0291872;0.0294067;0.0294818;0.0296748;0.029794;0.0297995;0.0298924;0.0299137;0.0300025;0.0300573;0.0300636;0.0300939;0.0300968;0.0301156;0.0301384;0.0302467;0.0303038;0.030455;0.0305193;0.0305334;0.0306509;0.0306702;0.0307608;0.0308064;0.030847;0.030855;0.0309156;0.0309992;0.0310565;0.0311006;0.0311037;0.0311038;0.0311393;0.0311695;0.0311858;0.0313944;0.0314377;0.0315652;0.0316048;0.0317986;0.0318948;0.0318996;0.0320254;0.0320888;0.0322846;0.0323095;0.0323558;0.0324577;0.032485;0.0326238;0.0326898;0.0327049;0.0327144;0.0328285;0.03284;0.0329336;0.032962;0.0329723;0.0329845;0.0331027;0.0331254;0.0331804;0.0333261;0.0334303;0.0334436;0.0334688;0.0335277;0.0336338;0.0338406;0.0338428;0.0338756;0.0339799;0.0341592;0.0343237;0.0343389;0.0344544;0.0344643;0.0345543;0.03458;0.0346849;0.0349422;0.0351924;0.0353467;0.0354118;0.0355425;0.0355831;0.0358184;0.0359981;0.0360999;0.0361837;0.0363806;0.0364689;0.0370213;0.0370613;0.0373197;0.0373698;0.0374859;0.0378511;0.0383693;0.0384496;0.0387218;0.0394709;0.0398317;0.04005;0.0412578;0.0413977;0.041852;0.0421307;0.0494805;0.0638334			197	0	0
doors	1	1	ScanOptions	identical_across_eras	E11;XA30;XA60	"""PFP\\FS"""	"""PFP\\FS"""	"""PFP\\FS"""	1	1	1
doors	1	1	ScanningSequence	identical_across_eras	E11;XA30;XA60	"""EP"""	"""EP"""	"""EP"""	1	1	1
doors	1	1	SequenceName	insufficient_cross_era_coverage	E11	"""epfid2d4_80"""			1	0	0
doors	1	1	SequenceVariant	identical_across_eras	E11;XA30;XA60	"""SK\\SS"""	"""SK\\SS"""	"""SK\\SS"""	1	1	1
doors	1	1	SeriesDescription	identical_across_eras	E11;XA30;XA60	"""task-SocialDoors_doors_CMRR_MB3_IP2_ME4_TR1615"""	"""task-SocialDoors_doors_CMRR_MB3_IP2_ME4_TR1615"""	"""task-SocialDoors_doors_CMRR_MB3_IP2_ME4_TR1615"""	1	1	1
doors	1	1	SeriesNumber	varies_within_era	E11;XA30;XA60	11;14;15;17;18;20;21;23;24;25;26;27;28;29	11;17;29;34;35	10;13;17;19;21;23;24;25;29;30;31;32;33;34;39;9	14	5	16
