paradigm	metric	software_era	n	mean	std	q1	median	q3	minimum	maximum	cohort_fence	outlier_direction	cohort_outlier_n	cohort_outlier_pct	median_delta_from_e11	median_pct_delta_from_e11
trust	tsnr	E11	381	27.020335891703724	7.9809168228875444	19.794567232602276	27.457131245639175	33.454614512622356	8.775079820305109	44.920046178624034	0.50607337878318503	lower	0	0	0	0
trust	tsnr	XA30	34	30.962010299905053	7.937542140781388	25.82034189645492	31.004039654682856	36.480187351116911	17.207278231158853	46.630824176594615	0.50607337878318503	lower	0	0	3.5469084090436809	12.917986141057659
trust	tsnr	XA60	238	40.202976267392785	10.360387318086564	32.362980846897699	41.145926099212375	47.809206045989413	7.0390276632970199	78.180747545789927	0.50607337878318503	lower	0	0	13.688794853573199	49.855153224528131
trust	fd_mean	E11	381	0.2212933494925485	0.16213978923067157	0.12142554721728269	0.17013002009129152	0.2529478034387897	0.05252607248985669	1.1317737763393083	0.42897212827636544	upper	34	8.9238845144356951	0	0
trust	fd_mean	XA30	34	0.19669889562292703	0.12752054356068104	0.12760063315113326	0.14864710108307083	0.21105106781409527	0.093850520018702394	0.64658038645125671	0.42897212827636544	upper	2	5.882352941176471	-0.021482919008220691	-12.627353477471516
trust	fd_mean	XA60	238	0.19641517532772859	0.11357825745550899	0.12528023522683815	0.1605704497868834	0.22213073467129174	0.062636838587731253	0.87010696016123745	0.42897212827636544	upper	11	4.6218487394957979	-0.0095595703044081271	-5.6189791191927654
trust	tedana_rejected_components	E11	381	11.049868766404199	4.8299297890916231	8	10	13	0	33	41.5	upper	0	0	0	0
trust	tedana_rejected_components	XA30	34	13.382352941176471	4.6967742740432907	10.25	13	15	6	32	41.5	upper	0	0	3	30
trust	tedana_rejected_components	XA60	238	32.571428571428569	21.805893671196323	18	25	42	6	131	41.5	upper	63	26.470588235294116	15	150
trust	brain_coverage_pct	E11	381	99.843878115586264	0.12489458770974603	99.787448854880708	99.87778309155641	99.929592433179238	99.281311440565389	100	99.165736755406755	lower	0	0	0	0
trust	brain_coverage_pct	XA30	34	99.849768538054477	0.12275862370727457	99.759883628248048	99.897045539082853	99.960146660290135	99.556299484563468	99.982730219459057	99.165736755406755	lower	0	0	0.019262447526443793	0.019286018301774087
trust	brain_coverage_pct	XA60	238	99.302008385053369	2.1845789194174907	99.347733673415163	99.545671927307495	99.711063287103457	75.759870343801481	99.976087996174073	99.165736755406755	lower	25	10.504201680672269	-0.33211116424891429	-0.33251755692702267
ugr	tsnr	E11	388	28.082783148300937	7.6738608536904573	22.20881694793934	28.71228920656722	34.003637215297204	6.255172839271836	45.388887701556087	4.940909389522858	lower	0	0	0	0
ugr	tsnr	XA30	36	30.603776982969269	8.2546093369087625	27.45336480482365	31.489313544821925	34.059168587002205	11.56427441269625	46.677649618941359	4.940909389522858	lower	0	0	2.7770243382547051	9.6719015271674333
ugr	tsnr	XA60	289	41.195957186433972	10.023343994269721	34.516869378276169	41.469484598259442	47.933178900275379	4.1891594007611275	76.088479015976191	4.940909389522858	lower	1	0.34602076124567471	12.757195391692221	44.431132954645534
ugr	fd_mean	E11	388	0.21070555839568655	0.16540610337402212	0.11858394587121143	0.17417592433359616	0.25406122768591022	0.057019056452118112	2.1000229489298659	0.42747894980150314	upper	22	5.6701030927835054	0	0
ugr	fd_mean	XA30	36	0.23137558209524872	0.20103691703983351	0.12295382705028511	0.17174656901870966	0.28514372795010962	0.081456052056862419	1.1593174088166613	0.42747894980150314	upper	3	8.3333333333333339	-0.0024293553148864999	-1.3947710191183469
ugr	fd_mean	XA60	289	0.1971044911972957	0.13202900702787221	0.1293098072883872	0.16609073295745511	0.22142746235139704	0.066392874203045585	1.2766061997419635	0.42747894980150314	upper	11	3.8062283737024223	-0.0080851913761410543	-4.6419684046892877
ugr	tedana_rejected_components	E11	388	10.448453608247423	4.6251132814672236	8	10	12	0	34	41.5	upper	0	0	0	0
ugr	tedana_rejected_components	XA30	36	12.888888888888889	3.9775605154819438	10	12	14.25	7	25	41.5	upper	0	0	2	20
ugr	tedana_rejected_components	XA60	289	30.041522491349482	18.643208150389981	17	24	37	5	130	41.5	upper	55	19.031141868512112	14	140
ugr	brain_coverage_pct	E11	388	99.830137122879208	0.17658143830898151	99.788113077209204	99.878447313884905	99.926935543865241	97.635368510547849	100	99.109277857484443	lower	2	0.51546391752577314	0	0
ugr	brain_coverage_pct	XA30	36	99.655969735078614	1.2480722621547597	99.774828630639249	99.883096870184389	99.956825548647643	92.299006323396569	99.994686221372021	99.109277857484443	lower	1	2.7777777777777777	0.0046495562994834927	0.004655214838163709
ugr	brain_coverage_pct	XA60	289	99.13787159447007	3.8394417850177094	99.374302566555073	99.56692704181944	99.705085286146982	41.196397258090229	99.980073330145061	99.109277857484443	lower	28	9.688581314878892	-0.31152027206546506	-0.31189939415703966
socialdoors	tsnr	E11	393	28.617698833422793	7.5302892999442657	22.090677917003632	29.539549594977871	34.777949763229117	6.0251884677563794	45.000492216320708	6.8632841649086913	lower	2	0.5089058524173028	0	0
socialdoors	tsnr	XA30	36	30.660166721040795	8.2124103293900035	27.860074772237567	30.879556516243611	35.98222147335764	10.343980652221944	47.657889336696826	6.8632841649086913	lower	0	0	1.3400069212657399	4.5363146684320448
socialdoors	tsnr	XA60	299	42.870278018571895	10.061842431389231	36.683816651348025	42.611607728758827	49.151823967229575	5.5907444525510073	79.00023555685766	6.8632841649086913	lower	2	0.66889632107023411	13.072058133780956	44.252733413387539
socialdoors	fd_mean	E11	393	0.20331753267215236	0.18821298128505085	0.11575060006536975	0.15961240563209744	0.23816253264166806	0.056031567408123276	2.7969148917355557	0.38514458299084148	upper	28	7.1246819338422389	0	0
socialdoors	fd_mean	XA30	36	0.27101219885142269	0.37425349878815278	0.11921932334446195	0.17622370781962188	0.2443882879483783	0.080104417822087187	2.1914686270474464	0.38514458299084148	upper	3	8.3333333333333339	0.016611302187524435	10.407275124850299
socialdoors	fd_mean	XA60	299	0.185381403917392	0.10276346475364245	0.12545442241780363	0.15950155556354936	0.21620818738300857	0.054446277151690092	0.79121727163341504	0.38514458299084148	upper	14	4.6822742474916392	-0.00011085006854807955	-0.069449531888884725
socialdoors	tedana_rejected_components	E11	393	10.063613231552162	4.1613175850677866	8	10	12	0	31	36.5	upper	0	0	0	0
socialdoors	tedana_rejected_components	XA30	36	13	6.2048368229954285	10	12	14.25	2	42	36.5	upper	1	2.7777777777777777	2	20
socialdoors	tedana_rejected_components	XA60	299	27.260869565217391	15.898681312337859	16.5	22	33	2	100	36.5	upper	58	19.397993311036789	12	120
socialdoors	brain_coverage_pct	E11	393	99.834319627435164	0.13290572986614602	99.782135076252729	99.868483978957443	99.920293320580271	99.194962537860675	100	99.075402518731096	lower	0	0	0	0
socialdoors	brain_coverage_pct	XA30	36	99.851324902137918	0.13679804479707089	99.755566183112819	99.904351984696319	99.961807216111367	99.402199904351988	99.986715553430045	99.075402518731096	lower	0	0	0.035868005738876718	0.035915240033516684
socialdoors	brain_coverage_pct	XA60	299	99.020172098894577	3.2782603725937478	99.326478558903233	99.54035814867953	99.709734842446466	68.240873585206444	99.968117328232111	99.075402518731096	lower	37	12.374581939799331	-0.3281258302779122	-0.32855793660295191
