Volume,Subject,Session,Task,Run,Filepath
23,sub-10418,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10418/ses-01/func/sub-10418_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
24,sub-10418,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10418/ses-01/func/sub-10418_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
25,sub-10418,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10418/ses-01/func/sub-10418_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
26,sub-10418,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10418/ses-01/func/sub-10418_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
27,sub-10418,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10418/ses-01/func/sub-10418_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
28,sub-10418,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10418/ses-01/func/sub-10418_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
29,sub-10418,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10418/ses-01/func/sub-10418_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
30,sub-10462,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10462/ses-01/func/sub-10462_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
31,sub-10462,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10462/ses-01/func/sub-10462_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
32,sub-10462,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10462/ses-01/func/sub-10462_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
33,sub-10462,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10462/ses-01/func/sub-10462_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
34,sub-10462,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10462/ses-01/func/sub-10462_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
35,sub-10462,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10462/ses-01/func/sub-10462_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
36,sub-10478,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10478/ses-01/func/sub-10478_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
37,sub-10478,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10478/ses-01/func/sub-10478_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
38,sub-10478,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10478/ses-01/func/sub-10478_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
39,sub-10478,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10478/ses-01/func/sub-10478_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
40,sub-10478,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10478/ses-01/func/sub-10478_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
41,sub-10478,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10478/ses-01/func/sub-10478_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
42,sub-10478,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10478/ses-01/func/sub-10478_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
43,sub-10478,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10478/ses-01/func/sub-10478_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
44,sub-10486,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10486/ses-01/func/sub-10486_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
45,sub-10486,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10486/ses-01/func/sub-10486_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
46,sub-10486,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10486/ses-01/func/sub-10486_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
47,sub-10486,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10486/ses-01/func/sub-10486_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
48,sub-10486,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10486/ses-01/func/sub-10486_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
49,sub-10486,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10486/ses-01/func/sub-10486_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
50,sub-10486,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10486/ses-01/func/sub-10486_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
51,sub-10529,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10529/ses-01/func/sub-10529_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
52,sub-10529,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10529/ses-01/func/sub-10529_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
53,sub-10529,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10529/ses-01/func/sub-10529_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
54,sub-10529,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10529/ses-01/func/sub-10529_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
55,sub-10529,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10529/ses-01/func/sub-10529_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
56,sub-10529,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10529/ses-01/func/sub-10529_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
57,sub-10529,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10529/ses-01/func/sub-10529_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
58,sub-10529,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10529/ses-01/func/sub-10529_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
59,sub-10541,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10541/ses-01/func/sub-10541_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
60,sub-10541,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10541/ses-01/func/sub-10541_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
61,sub-10541,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10541/ses-01/func/sub-10541_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
62,sub-10541,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10541/ses-01/func/sub-10541_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
63,sub-10541,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10541/ses-01/func/sub-10541_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
64,sub-10541,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10541/ses-01/func/sub-10541_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
65,sub-10541,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10541/ses-01/func/sub-10541_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
66,sub-10541,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10541/ses-01/func/sub-10541_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
67,sub-10559,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10559/ses-01/func/sub-10559_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
68,sub-10559,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10559/ses-01/func/sub-10559_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
69,sub-10559,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10559/ses-01/func/sub-10559_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
70,sub-10559,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10559/ses-01/func/sub-10559_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
71,sub-10559,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10559/ses-01/func/sub-10559_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
72,sub-10559,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10559/ses-01/func/sub-10559_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
73,sub-10559,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10559/ses-01/func/sub-10559_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
74,sub-10559,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10559/ses-01/func/sub-10559_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
75,sub-10572,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10572/ses-01/func/sub-10572_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
76,sub-10572,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10572/ses-01/func/sub-10572_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
77,sub-10572,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10572/ses-01/func/sub-10572_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
78,sub-10572,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10572/ses-01/func/sub-10572_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
79,sub-10572,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10572/ses-01/func/sub-10572_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
80,sub-10572,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10572/ses-01/func/sub-10572_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
81,sub-10572,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10572/ses-01/func/sub-10572_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
82,sub-10581,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10581/ses-01/func/sub-10581_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
83,sub-10581,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10581/ses-01/func/sub-10581_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
84,sub-10581,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10581/ses-01/func/sub-10581_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
85,sub-10581,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10581/ses-01/func/sub-10581_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
86,sub-10581,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10581/ses-01/func/sub-10581_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
87,sub-10581,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10581/ses-01/func/sub-10581_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
88,sub-10581,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10581/ses-01/func/sub-10581_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
89,sub-10581,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10581/ses-01/func/sub-10581_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
90,sub-10584,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10584/ses-01/func/sub-10584_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
91,sub-10584,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10584/ses-01/func/sub-10584_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
92,sub-10584,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10584/ses-01/func/sub-10584_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
93,sub-10584,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10584/ses-01/func/sub-10584_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
94,sub-10584,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10584/ses-01/func/sub-10584_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
95,sub-10584,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10584/ses-01/func/sub-10584_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
96,sub-10585,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10585/ses-01/func/sub-10585_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
97,sub-10585,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10585/ses-01/func/sub-10585_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
98,sub-10585,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10585/ses-01/func/sub-10585_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
99,sub-10585,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10585/ses-01/func/sub-10585_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
100,sub-10585,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10585/ses-01/func/sub-10585_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
101,sub-10585,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10585/ses-01/func/sub-10585_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
102,sub-10585,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10585/ses-01/func/sub-10585_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
103,sub-10585,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10585/ses-01/func/sub-10585_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
104,sub-10589,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10589/ses-01/func/sub-10589_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
105,sub-10589,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10589/ses-01/func/sub-10589_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
106,sub-10589,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10589/ses-01/func/sub-10589_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
107,sub-10589,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10589/ses-01/func/sub-10589_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
108,sub-10589,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10589/ses-01/func/sub-10589_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
109,sub-10589,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10589/ses-01/func/sub-10589_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
110,sub-10589,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10589/ses-01/func/sub-10589_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
111,sub-10589,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10589/ses-01/func/sub-10589_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
112,sub-10590,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10590/ses-01/func/sub-10590_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
113,sub-10590,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10590/ses-01/func/sub-10590_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
114,sub-10590,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10590/ses-01/func/sub-10590_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
115,sub-10590,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10590/ses-01/func/sub-10590_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
116,sub-10590,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10590/ses-01/func/sub-10590_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
117,sub-10590,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10590/ses-01/func/sub-10590_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
118,sub-10590,ses-01,sharedreward,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10590/ses-01/func/sub-10590_ses-01_task-sharedreward_run-1_part-mag_desc-brain_mask.nii.gz
119,sub-10590,ses-01,sharedreward,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10590/ses-01/func/sub-10590_ses-01_task-sharedreward_run-2_part-mag_desc-brain_mask.nii.gz
120,sub-10596,ses-01,ugr,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10596/ses-01/func/sub-10596_ses-01_task-ugr_run-1_part-mag_desc-brain_mask.nii.gz
121,sub-10596,ses-01,ugr,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10596/ses-01/func/sub-10596_ses-01_task-ugr_run-2_part-mag_desc-brain_mask.nii.gz
122,sub-10596,ses-01,doors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10596/ses-01/func/sub-10596_ses-01_task-doors_run-1_part-mag_desc-brain_mask.nii.gz
123,sub-10596,ses-01,socialdoors,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10596/ses-01/func/sub-10596_ses-01_task-socialdoors_run-1_part-mag_desc-brain_mask.nii.gz
124,sub-10596,ses-01,trust,1,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10596/ses-01/func/sub-10596_ses-01_task-trust_run-1_part-mag_desc-brain_mask.nii.gz
125,sub-10596,ses-01,trust,2,/ZPOOL/data/projects/rf1-sra-linux2/derivatives/fmriprep-24/sub-10596/ses-01/func/sub-10596_ses-01_task-trust_run-2_part-mag_desc-brain_mask.nii.gz
